Date,Boat,Sighting_Number,Species,Island_area,Sighting_Cue,Sea_Conditions,Start.time,latitude,longitud,Start.depth,End.time,Encounter.duration,Group.size..min.,Group.size..best.,Group.size..max.,datetimeHST,datetimeUTC,month,year,datetime_pdt
17-Aug-11,Black Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,11:04,19.37974,-155.97882,1490,12:11,1.11,1,1,1,8/17/11,8/17/11 10:00,8,2011,8/17/11 10:00
19-Aug-11,Black Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,10:44,19.34247,-155.97488,1800,12:26,1.7,1,1,2,8/19/11,8/19/11 10:00,8,2011,8/19/11 10:00
19-Oct-11,Wild Whale/Black whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,7:59,19.81534,-156.15988,1730,8:50,0.85,3,3,3,10/19/11,10/19/11 10:00,10,2011,10/19/11 10:00
20-Oct-11,Wild Whale,1,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 4+,9:12,19.82411,-156.23625,3102,9:42,0.5,2,2,2,10/20/11,10/20/11 10:00,10,2011,10/20/11 10:00
23-Oct-11,Wild Whale,4,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,12:50,19.974,-156.11169,858,13:57,1.11,8,9,11,10/23/11,10/23/11 10:00,10,2011,10/23/11 10:00
31-Oct-11,Wild Whale,1,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,8:28,19.77953,-156.13219,1233,9:07,0.64,3,3,NA,10/31/11,10/31/11 10:00,10,2011,10/31/11 10:00
31-Oct-11,Wild Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,9:21,19.82685,-156.1606,1500,10:04,0.71,4,4,NA,10/31/11,10/31/11 10:00,10,2011,10/31/11 10:00
10-Nov-11,Wild Whale,4,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 3,12:58,19.43117,-156.00648,1730,14:17,1.31,2,2,2,11/10/11,11/10/11 10:00,10,2011,11/10/11 10:00
11-Nov-11,Wild Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,13:23,19.45924,-156.00081,1297,13:27,0.06,2,2,2,11/11/11,11/11/11 10:00,10,2011,11/11/11 10:00
7-May-12,Wild Whale,1,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,8:49,19.33938,-155.92261,1168,8:50,0.01,3,3,3,5/7/12,5/7/12 10:00,5,2012,5/7/12 10:00
7-May-12,Wild Whale,7,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,13:45,19.43574,-156.01328,1695,14:10,0.41,1,1,1,5/7/12,5/7/12 10:00,5,2012,5/7/12 10:00
8-May-12,Wild Whale,1,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,7:37,19.6777,-156.05244,550,8:33,0.93,3,3,3,5/8/12,5/8/12 10:00,5,2012,5/8/12 10:00
8-May-12,Wild Whale,3,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,14:07,19.59643,-156.0248,636,14:58,0.85,4,4,5,5/8/12,5/8/12 10:00,5,2012,5/8/12 10:00
15-May-12,Wild Whale,3,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,11:02,19.57049,-156.03563,1380,11:36,0.56,2,2,3,5/15/12,5/15/12 10:00,5,2012,5/15/12 10:00
16-May-12,Wild Whale,5,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,12:36,19.40516,-156.07193,2700,13:12,0.6,1,1,1,5/16/12,5/16/12 10:00,5,2012,5/16/12 10:00
19-May-12,Wild Whale,1,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,7:01,19.58506,-156.03523,1200,7:46,0.75,3,3,5,5/19/12,5/19/12 10:00,5,2012,5/19/12 10:00
20-May-12,Wild Whale,3,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,8:29,19.83212,-156.13528,780,9:27,0.96,2,2,2,5/20/12,5/20/12 10:00,5,2012,5/20/12 10:00
20-May-12,Wild Whale,5,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,13:26,19.82915,-156.14018,779,13:51,0.41,2,2,2,5/20/12,5/20/12 10:00,5,2012,5/20/12 10:00
23-May-12,Wild Whale,1,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,8:58,19.25403,-155.92268,920,9:42,0.73,4,4,4,5/23/12,5/23/12 10:00,5,2012,5/23/12 10:00
20-Aug-12,Black Whale,3,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 0,9:01,19.67085,-156.18033,2600,10:30,1.48,2,2,2,8/20/12,8/20/12 10:00,8,2012,8/20/12 10:00
13-May-13,Wild Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,7:45,19.85076,-156.15372,1100,8:20,0.58,2,2,2,5/13/13,5/13/13 10:00,5,2013,5/13/13 10:00
21-May-13,Wild Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,13:18,19.5311,-156.16142,2800,13:56,0.63,1,1,1,5/21/13,5/21/13 10:00,5,2013,5/21/13 10:00
21-Oct-13,Wild Whale,1,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,12:05,19.27198,-155.92661,831,13:19,1.23,3,3,3,10/21/13,10/21/13 10:00,10,2013,10/21/13 10:00
21-Oct-13,Wild Whale,2,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,13:54,19.37106,-155.92009,660,14:47,0.88,2,2,2,10/21/13,10/21/13 10:00,10,2013,10/21/13 10:00
22-Oct-13,Wild Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 0,9:47,19.49975,-156.12668,2700,9:53,0.09,2,2,2,10/22/13,10/22/13 10:00,10,2013,10/22/13 10:00
28-Oct-13,Wild Whale,1,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,8:02,19.87454,-156.2149,1900,8:42,0.66,3,4,5,10/28/13,10/28/13 10:00,10,2013,10/28/13 10:00
28-Oct-13,Wild Whale,3,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,11:51,19.59326,-156.08537,2000,13:14,1.38,4,4,4,10/28/13,10/28/13 10:00,10,2013,10/28/13 10:00
17-Jul-14,Wild Whale,4,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,11:30,19.30356,-155.92442,1150,11:56,0.43,1,2,2,7/17/14,7/17/14 10:00,7,2014,7/17/14 10:00
25-Jul-14,Wild Whale,1,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 0,12:26,19.60215,-156.03119,700,12:27,0.01,2,2,2,7/25/14,7/25/14 10:00,7,2014,7/25/14 10:00
27-Jul-14,Wild Whale,1,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,6:38,19.5801,-156.02208,920,6:40,0.03,2,2,2,7/27/14,7/27/14 10:00,7,2014,7/27/14 10:00
